dial,roster_profile,treatment_value,best_of,series,expected_fit_edge,control_win_rate,treatment_win_rate,series_win_lift_pp,series_win_lift_ci_low,series_win_lift_ci_high,rounds_won_added_per_map,rounds_won_added_ci_low,rounds_won_added_ci_high,round_margin_added_per_map,round_margin_added_ci_low,round_margin_added_ci_high
util_discipline,balanced,100.0,3,100,0.6666666666666665,0.54,0.43,-11.0,-22.78472149039003,0.7847214903900301,-0.40333333333333327,-0.8153144513123836,0.008647784645717083,-0.7333333333333333,-1.399087321391264,-0.06757934527540266
util_discipline,balanced,100.0,5,100,0.6666666666666665,0.47,0.39,-8.0,-19.713713624153826,3.713713624153824,-0.33799999999999997,-0.656447439641366,-0.019552560358633952,-0.6240000000000001,-1.1275571603315875,-0.12044283966841263
util_discipline,fraggers,0.0,3,100,-0.41666666666666674,0.48,0.48,0.0,-6.823844113463355,6.823844113463355,-0.026666666666666627,-0.23089278461018675,0.17755945127685352,-0.07000000000000002,-0.3506323656031463,0.2106323656031463
util_discipline,fraggers,0.0,5,100,-0.41666666666666674,0.44,0.44,0.0,-5.571645387426619,5.571645387426619,-0.03600000000000004,-0.17477535973178698,0.10277535973178692,-0.118,-0.30980505574697714,0.07380505574697716
util_discipline,fraggers,100.0,3,100,-0.41666666666666674,0.48,0.39,-9.0,-21.48813190128285,3.4881319012828484,-0.8466666666666667,-1.262618594304344,-0.43071473902898944,-1.1666666666666667,-1.7621713380945914,-0.5711619952387422
util_discipline,fraggers,100.0,5,100,-0.41666666666666674,0.44,0.29,-15.0,-28.177559744052797,-1.8224402559472033,-0.76,-1.0798240930653138,-0.4401759069346862,-1.176,-1.666598483800216,-0.6854015161997841
util_discipline,mixed,0.0,3,100,0.5333333333333333,0.54,0.53,-1.0,-6.208072987432515,4.208072987432515,0.04666666666666664,-0.11147495620473163,0.2048082895380649,0.06333333333333335,-0.1883681409246829,0.3150348075913496
util_discipline,mixed,0.0,5,100,0.5333333333333333,0.42,0.49,7.000000000000001,1.2535020765827838,12.746497923417218,0.027999999999999962,-0.07989732612932812,0.13589732612932803,0.10400000000000001,-0.07328691960386208,0.2812869196038621
util_discipline,mixed,100.0,3,100,0.5333333333333333,0.54,0.43,-11.0,-22.450714061806472,0.45071406180647244,-0.5466666666666667,-0.9173567572474239,-0.1759765760859096,-0.7399999999999999,-1.4260128842785562,-0.053987115721443435
util_discipline,mixed,100.0,5,100,0.5333333333333333,0.42,0.36,-6.0,-16.72451284476716,4.724512844767158,-0.6100000000000001,-0.9104235636160347,-0.30957643638396554,-0.922,-1.4292307659789136,-0.41476923402108634
util_discipline,tacticians,0.0,3,100,1.1666666666666667,0.51,0.56,5.0,-0.11788308509751655,10.117883085097517,0.3233333333333333,0.1056634812882285,0.5410031853784381,0.6533333333333334,0.40556385066202083,0.901102816004646
util_discipline,tacticians,0.0,5,100,1.1666666666666667,0.48,0.55,7.000000000000001,1.2535020765827838,12.746497923417218,0.276,0.1157941211434424,0.43620587885655765,0.504,0.2876019984035215,0.7203980015964785
